======================================================================
GPU Scalar Multiplication Performance - GF(2^571) sect571r1
Lopez-Dahab Projective Coordinates + Itoh-Tsujii Inversion
======================================================================

Number of runs     : 50
Average time       : 2734.8645 ms
Median time        : 2735.9535 ms
Min time           : 2619.1504 ms (run #27)
Max time           : 2835.5029 ms (run #1)
Std deviation      : 57.3190 ms
Total time         : 136743.2227 ms

----------------------------------------------------------------------
Run   Time (ms)     Scalar k (hex)                                                                                                                                      x_aff (hex)
25    2720.2543     0x4803f31f444c98c984fa9a24561dfe8eacdb6a4ed9c912d5b2dad801533ce8d397a9bd2ad8c93a24c878e746ef2fc032ca060277c24b54b680e275456af986fc6a062663e617536   0x4106829e932df1ff77579cabfcec424cdae51f637dee726b2eb251f224ada5fe72ddbc892b1d7cc32f6ea2d9aecb8a47a94f7969a8b7301a28620e90d219a8603b7e6546add0d65
26    2658.7829     0x47b87f19599c040c81dd0c44b398a95014c0cc6c26c41c445a07ff46ed362e2e63414010fc47e09f5306c4272db47f64f05ea8f4f2023fd1eebefb3ff2c46b468f709206c973418   0x53c89f49140f28f9286d4d22e5580d843673301b0a184ba9f8ac91456aa2e0873c7bb10ca0f8e96f0941c5e6f8bb753c8c589b8342b60dc492790f026e52036942fc079807ece71
27    2619.1504     0x7d4446f70c91460949b7d18d02a608d53f9b236025bbc1b02689b9d9f76b04508651f5a0fb86bbd8b802d97819c823706d3a56198d75c2d64d12fe09a41f3b1260745500b4a7a06   0x30e400231bd2ff76ffd89db9c6c19fcec771c1833e8bb3154284c1ce3338d6e07265efb62c8a5786c93b6b47ae231b85b25f91250301501000306646a44ab7966cd905627222beb
28    2749.5168     0x450670375737660045a371bfa0b768ed645deb9592c815f1b38faf60bb5a388b691c4ada998c7eac4e60c2b78ee8932a0d9c40d36f704d31bb860c43d64735fe90e49e3da2ec363   0x41b76bd0436f695bddf6d6955dbaf5f6b8a004f7ceb5e696e0a1bd2bce5cabfa9bed7f9a827d524cde80c04f4c1a7ee197a2fcb2a798b60b2952d6f878d7eb5e56e8b2c8b2c4ce6
29    2670.8713     0x65502a7b43d920d8fedb1c4ffbd28076317b09bbdb996ae07c7beddf928ca6b5659f2038bee0007167f89444040fce7047098c870c204cc32a7061cd9d4560f987a084ab9cd9353   0x5d9272fc8b2af9429d1bef216f04c6e5edff3cb4928da2f277e9ff3ed89b4af1c8a773ce26175ba3859f3a28d8431fb4dd9ea1bdbbae2b1db64f99616cd0f279348ab5da510d779
30    2751.0372     0x5d2bcba9a9e8ee37a278fdbb8bb5f8e1eab09d26e306327e33c1441f993b00bb0f602bac1559a9e80f4e10b6723241e3b8b24993ce6de2c5ded0d8d2a759307b454e7ddc93993e2   0x44a15fda14e3e971551e08d07797e8041b44a7383e7af4443e6c1788d62d02f2099c418ac8fb3ed810719693596f7cadac66a277b52e055bac17cc0efc8ea2285c7a6211493d010
31    2815.1572     0x409b6185246ec8c0fab462eeaddff9097837cb3a19937d970dae82f8f70e86e48fdbee63831f169409a418cfb3d7280df7dff3a2e6736f87f145389920df821c3bc27b686916375   0x79a2f4cb456cac670945af7e4ca39ee1057ba92bf009cfe0a22c3372749c0d7e49b5686d894b55888fce73e2ad88e62c0d71da3a0c36c6c55c20593d92c9fac297ad46ef53c0be7
32    2767.3823     0x4da75958fb18a69dfa4d9ba3059c115d80abce508d04725db79014b80e95cf186476e43e3ad6973a7ef1398978d3ccf7ec206a22564b9591aa3feb7fc7fe62df2a258f7da374578   0x38be3bc42be33fb5d459abc70c209b6dd125a106a72257c138013a31356c90333f909935dfd3615e9851651c40186df76a93ef008b0bb81a491db7f579dad8730cebe31eee1c1b5
33    2687.6321     0x5fb4cb2386a6121ca61ea2d23662848082b906f70db611b73d83d3c95e91d0fa0618b5e29bbe409798d09b882c1a3bdfb68aecf1304339414d1a91cad59fbd8213d6dab62ddaf36   0x1b9a9b41327482516f792f257c16c90427bfd83d2e3d24b9ccc4743580cbd370d7a505856d05f8c2e9ed0be5dfd78a336f29540d04a5d24dbf8710c0cfd15901db72b2d6f9c9507
34    2801.5950     0x75fa3951194feb2b4659dbc2d8ca699b9bac6d62363e58c50cf3724e6e46dacecdfb548e7c7444d6507ab8ea17abfc33efbeac681e98b127a447b7c76990141dc78fefa06e59cad   0x12140095b276714da878a7493f9e509bfcd1ea3429be7551125920f5aee440011e3ffe112672ea95ffa643db9ca1a30e0c57cd592db9b09c1f026acb90961e57224e0c0994176e7
35    2655.0271     0x5523ac98b8de739320e633ac500f12e04f435d0810a404929a842f3dec0a8b3a1949127015a61d70083ccaeb992b404b4515c0f41f4fc61e3ba4ace35d394bfcfa821751f76bba8   0x7116b65da5619ee8c11ed7f73ee916cd1783961d9d9330fcee9d6ca591f91c8bf2fa42f7ede49c6f8bd0914c4fc594c6df58a9db01edd7940a58a8d0e0efe14a5e381ed0f615fc8
36    2708.2198     0x6eeea256be0c18af3b28005c17862f11cb3d4bb331563714bfcf161501fa0f4c1f739dfedfeab76c2892bd2bc8a54349148c4182b3387f27b7284dd3f0025ce5c983cc8454886ae   0x2a793a4c0f34cfee639a1db3b9263c5b59b56e81cd0ace003821b6215cb7f8622709915feddcbd4d9c1c75bf39ec2d6a0f03f70906e9b17504d43ba19414040c5d1cda455b897e3
37    2669.0061     0x61b3dc25e1cca5de8564d6d21c124750776d56cda15183e294b04d2c3ba69a64a96ab3ddf71988466049c98b9c2370a831720aa916ff8f049fa041fe3db004bda19805f64c3fa36   0x64b403646014625b886ac827168e3d9ecf143e59ce0f3608f2f85f04d56a67d1329b39e00b0180ce6bc19c1db8f776d4361de5b87ff988ee5fbbf5a693bb45fc4635d4207f4d3b3
38    2802.7681     0x47e7d14455c3c4f30f4bcb2bd47e670dfdb00f9153b16c0cd02ae18f2cde2635c1cd24931f0ae8916ab7b94a6c2354bbe1a6b77b911c6bddeb57116b3dd9880686d9f2ca5ca6bb9   0x5145fe26e0962640dbeb98028e88c3e460ad58f2862318e1bf132bb54b22e2b212140da8e7534ac9713be5893a19597a1cf5c8a507224b7c4176c700b700214559d7f5d39a0b085
39    2779.2563     0x53c195076dae48706a33a547a0be8362210ea7d0eaed5cda5717cbb8e1776313da9ddf665c5ddee85d5bf2f56952eb3119afc0ad02cd62f90718c5ce35e89bc54ce6de01a7e783c   0x178a88259f2d43c7c4799053e61b83eb2e774355b91164ea85b7d916299047f2505bb4a4c13fbdcfd22636e35240d7dff0d26a4b5ce20f7ff78d72129c38667be5bfc52b32bfdb3
40    2778.5687     0x6dacdffeddff3c4851c2bca456109e7daf9a8747b4f46ad2eb03be6f68dbb86656a9fc713425e3654660b4ee904bcf2a982f2102d41172c0bed97b41d556393d182748a02eb0bf3   0x33458992e70b3ea4dbf30865d7ac8c277097e7206bfd7b221129a66d8912e8f10fe6808595216cc8d0c2422ad7a5af1b722976054d54035fbe8cdc8d3656a69f91b94f4c2b5b3a2
41    2724.9497     0x6a6e39c494818a2b05b5f2886a62144e17bcc03a7a2c39577d48d37b09dd4a2e7d4871e97dae7fb3bbdbf3b3488ced92c1f63259f8c12ef81004c091a96b4a5b1139c867f630bf7   0x77100f7420e9f6895f8b7fc3c6bf7d9d698141dcea5f264816eff7ef45f72861e3293f47e218a1c7158418610f18c7df6b4da7ecf0fe86255933e43bd52f126796883628638153a
42    2656.5464     0x40a04141b0d581587a033f326c2370e512fe7329cfc581b65a5323e57f34bc40c1040f2de929a083970713803f745f04f633aa8123269ca72697edac17469f82c79499b48a0a557   0x7c84d3c8496e56a5f770ca3c0c05334481fff844d852ca3f44508fb5a3e8a115508dcf9aef6e2b511722a70b7f8f4df5701324355e206fbd58f073b20cfa29cb8336dcdd37fd81a
43    2639.1753     0x5b084d8c2593a764b4755790235373017cb97080c481d1f305d6825869e9ad60b71afb2d81c06cc97ff80dd08202c1448b08293942ebcdcf709246ef445a9e2d2b1ab7006ff257f   0x0fa61618883cb1dfe6434a5cf57990f57d19ef840e8a281c4f7e052864bd907db5b06d02729869a951156666e67b46813e1fb44df3a34131630728a8c47b4f1fba2a17e9b8657be
44    2758.5650     0x46b250d92f56bc447b86d355c3f4c9d75363529964c05eb168cebceecec64b7e744bd6c52c1349d66ed28b5c783ceb03f54138d769dcbbdfea74342986d8d7ab3b81a99c4eab752   0x6800335d4cd0cc81e8ccc77ed5ae8e3a19b34bacbaf5444f2d2dba88dba41c521c5d13e52910cd15db912fce9689971302dbb01921f9378c17d8ba289930cd4cac295621e5bb858
45    2725.8116     0x43b795b13d699dec058fbb1459f4f22359595bc3a73a98dace4c139395a9e84794a9ef83db4de9f514ee2e189aa00b80c03101d18bd7918cf45b103685d13517912c9b1e79666c1   0x57d78dcb84da3af19fe2a7c5497a944131210ee8b4e8e11a58903d15107a042bd39db25983bc2baa73d15069beb35058bdd462fe0c40963a9329f4eb150edec4dca03a247e0424f
46    2696.4255     0x670151861deb0174388b3239f970b7c5cb7d6ea193e90bceaa229cb41357abbb80b05c8e5cc9585c2d598444ce085f9d49203a4ec043c6c362e09639a88736826bc3478ab0ef52f   0x451b48d962432edcb7dae2880d2438f2ebbcfe07f35172d061aa2f27bca278f86b304863c25b5b3e6500b889b2134e97b68359f7e5606c8fe476627ed6ce1b7ec87e80962ad0727
47    2698.2487     0x49951f6e0a157e0a377fa3180dc8b694066e5cf7a889af10c06d84d54683e89f73d97d61817d3c86b456ed84cc261480f0e2030573eb1e9ecd489ddbeaee36ad22833847895a6b7   0x758f421d9a78d0f3112ebd15f40917974d13a5cadc6945c96f225af639479bc30a007763670fa17deea6405d340b40050c76de4d41b2befaa598dd312822015b09b753bcfe5a130
48    2727.0668     0x7183662616bc47e82a6d03a6ed0ef0e7103c6253df5cdfeb718aa4f7f3960c30320009d97500d230e8fdf0c9745792d729bce2b157f15a809982a882dd079c9224ab9ae7ee93e1d   0x40fa215351c47e1de12e945f67e0d068b15008153915c8db6aa57513c9ad56c4680028261b0247f83c1e2aede6d4368664e85001eaa290efad0a91628c9eff8be2e121574085254
49    2804.3730     0x5dfbbdd073ce91bd8bf153e86061f70d4c92b041b26d97dd1025637714e9b3ab6905dfb9abec6bd484a99c554c0c99d927813dde36a8ef70cab5ad2216c256a427f4ad85ba5e397   0x77c93f84bd815d43cdd044f789cca845363f9138a478119f70691292c7abae1fb905a1887cbd4d4e6a201d9b8e556776702a58ba3edbe35ba80453fbe40c95da3808d289487474c
50    2764.7410     0x71d98af4680bd3f7c9ee4258f9c3665b73aae6449e97c683228fe50266caba9b082968ce208e9fda28e5387e1e1fb5eb324a8a6a61591f454cf5373203d2d7cd0519fdc3982b3dd   0x45f90bc6efde16a96b3435d4b7da1b3fbd30a8514f38d3583d2a4c64c65020be652c70418779f97a0ca6a51718d4f58926195ba0b14efaffbdf3d07b72299daba91ad85434080ba
----------------------------------------------------------------------

All times (ms): [2835.5, 2772.02, 2711.97, 2681.06, 2821.1, 2823.41, 2669.29, 2764.0, 2741.19, 2624.42, 2735.95, 2761.59, 2638.03, 2830.16, 2714.41, 2777.89, 2817.47, 2729.85, 2782.33, 2722.81, 2755.88, 2699.14, 2729.46, 2774.15, 2720.25, 2658.78, 2619.15, 2749.52, 2670.87, 2751.04, 2815.16, 2767.38, 2687.63, 2801.59, 2655.03, 2708.22, 2669.01, 2802.77, 2779.26, 2778.57, 2724.95, 2656.55, 2639.18, 2758.56, 2725.81, 2696.43, 2698.25, 2727.07, 2804.37, 2764.74]
